Dates,County,States,Vehicle_Primary_Use,Battery_EV,PlugIn_Hybrid _EV,EV_Total,NEV_Total,Total_Vehicles,Percent_EV
September 30 2018,Island,WA,Truck,0,0,0,21087,21087,0
June 30 2017,Mason,WA,Truck,0,0,0,19267,19267,0
June 30 2020,Cowlitz,WA,Truck,0,0,0,28863,28863,0
July 31 2021,San Juan,WA,Passenger,443,139,582,14234,14816,3.93
May 31 2021,Adams,WA,Truck,0,0,0,5373,5373,0
December 31 2020,Columbia,WA,Truck,0,0,0,1542,1542,0
January 31 2018,Klickitat,WA,Passenger,24,26,50,14933,14983,0.33
October 31 2023,Whitman,WA,Truck,5,0,5,8626,8631,0.06
March 31 2020,Ferry,WA,Passenger,5,3,8,4366,4374,0.18
September 30 2023,Adams,WA,Truck,3,0,3,5338,5341,0.06
April 30 2019,Chelan,WA,Truck,0,0,0,22171,22171,0
February 28 2017,Ferry,WA,Truck,0,0,0,3562,3562,0
February 28 2018,Ferry,WA,Truck,0,0,0,3528,3528,0
September 30 2023,Benton,WA,Passenger,1265,612,1877,135023,136900,1.37
May 31 2019,Skagit,WA,Passenger,292,200,492,91693,92185,0.53
September 30 2019,Stevens,WA,Passenger,27,28,55,31654,31709,0.17
December 31 2022,Douglas,WA,Passenger,168,58,226,28490,28716,0.79
February 28 2023,Garfield,WA,Passenger,1,3,4,1311,1315,0.3
January 31 2017,Whitman,WA,Truck,0,0,0,8404,8404,0
February 28 2019,Grant,WA,Truck,0,0,0,26310,26310,0
July 31 2017,Garfield,WA,Passenger,0,0,0,1296,1296,0
August 31 2017,Skamania,WA,Passenger,10,7,17,8569,8586,0.2
June 30 2023,Island,WA,Truck,32,0,32,21055,21087,0.15
January 31 2023,Whatcom,WA,Truck,37,0,37,42974,43011,0.09
August 31 2020,Whatcom,WA,Truck,3,0,3,43274,43277,0.01
March 31 2018,Columbia,WA,Truck,0,0,0,1532,1532,0
September 30 2023,Skagit,WA,Truck,27,0,27,31672,31699,0.09
February 28 2023,Pierce,WA,Truck,111,0,111,138588,138699,0.08
April 30 2021,Benton,WA,Passenger,494,377,871,136048,136919,0.64
May 31 2017,Kitsap,WA,Truck,1,0,1,52376,52377,0
October 31 2020,Stevens,WA,Passenger,36,39,75,30353,30428,0.25
April 30 2022,Whitman,WA,Passenger,83,56,139,22022,22161,0.63
December 31 2021,Jefferson,WA,Truck,0,0,0,9597,9597,0
April 30 2021,Stevens,WA,Truck,0,0,0,18871,18871,0
April 30 2018,San Juan,WA,Passenger,141,53,194,13955,14149,1.37
December 31 2021,Pend Oreille,WA,Passenger,18,9,27,9123,9150,0.3
December 31 2017,Kitsap,WA,Truck,1,0,1,52688,52689,0
November 30 2017,Wahkiakum,WA,Truck,0,0,0,1661,1661,0
February 29 2024,Wahkiakum,WA,Truck,4,0,4,1695,1699,0.24
August 31 2021,King,WA,Truck,5,1,6,183996,184002,0
January 31 2018,Whatcom,WA,Passenger,548,238,786,145485,146271,0.54
March 31 2020,Pacific,WA,Truck,0,0,0,7710,7710,0
July 31 2019,Mason,WA,Truck,0,0,0,20405,20405,0
April 30 2017,Douglas,WA,Truck,0,0,0,11450,11450,0
December 31 2022,Lewis,WA,Truck,1,0,1,26282,26283,0
October 31 2020,Mason,WA,Truck,0,0,0,20826,20826,0
January 31 2020,Grant,WA,Passenger,58,71,129,65611,65740,0.2
November 30 2020,Douglas,WA,Passenger,82,43,125,28125,28250,0.44
November 30 2017,Snohomish,WA,Passenger,1987,1018,3005,515966,518971,0.58
July 31 2018,Whitman,WA,Truck,0,0,0,8499,8499,0
January 31 2024,Island,WA,Passenger,1329,488,1817,60144,61961,2.93
October 31 2019,Douglas,WA,Truck,0,0,0,12290,12290,0
July 31 2019,Adams,WA,Truck,0,0,0,5129,5129,0
June 30 2019,Spokane,WA,Passenger,538,433,971,311743,312714,0.31
November 30 2018,Snohomish,WA,Passenger,2789,1415,4204,526704,530908,0.79
July 31 2019,Cowlitz,WA,Passenger,106,107,213,73133,73346,0.29
July 31 2019,Thurston,WA,Passenger,905,651,1556,198066,199622,0.78
May 31 2018,Snohomish,WA,Truck,1,0,1,121480,121481,0
January 31 2024,Wahkiakum,WA,Truck,4,0,4,1713,1717,0.23
June 30 2022,Clallam,WA,Truck,3,0,3,21921,21924,0.01
January 31 2018,Klickitat,WA,Truck,0,0,0,7992,7992,0
September 30 2023,Walla Walla,WA,Passenger,246,121,367,35383,35750,1.03
March 31 2023,Benton,WA,Passenger,1039,534,1573,135673,137246,1.15
November 30 2017,Okanogan,WA,Passenger,5,17,22,25722,25744,0.09
May 31 2020,Clark,WA,Passenger,2003,1055,3058,317421,320479,0.95
February 28 2021,Kittitas,WA,Passenger,142,53,195,29819,30014,0.65
August 31 2019,Garfield,WA,Passenger,0,1,1,1305,1306,0.08
September 30 2017,Columbia,WA,Truck,0,0,0,1558,1558,0
April 30 2021,Adams,WA,Truck,0,0,0,5405,5405,0
February 28 2019,Grant,WA,Passenger,33,55,88,64273,64361,0.14
June 30 2023,Yakima,WA,Passenger,502,257,759,166181,166940,0.45
November 30 2020,Jefferson,WA,Passenger,276,153,429,24718,25147,1.71
December 31 2023,Whatcom,WA,Passenger,2926,1040,3966,146006,149972,2.64
May 31 2018,Grays Harbor,WA,Passenger,50,55,105,46405,46510,0.23
March 31 2021,Clallam,WA,Passenger,299,199,498,50117,50615,0.98
May 31 2017,Klickitat,WA,Truck,0,0,0,7958,7958,0
February 28 2023,Pacific,WA,Truck,2,0,2,7824,7826,0.03
October 31 2017,Skamania,WA,Passenger,10,7,17,8570,8587,0.2
September 30 2022,Chelan,WA,Passenger,493,135,628,54084,54712,1.15
March 31 2017,Lincoln,WA,Truck,0,0,0,4469,4469,0
January 31 2023,San Juan,WA,Passenger,570,173,743,13867,14610,5.09
July 31 2017,Klickitat,WA,Passenger,23,24,47,14804,14851,0.32
January 31 2021,Lewis,WA,Passenger,126,133,259,58897,59156,0.44
June 30 2020,Stevens,WA,Passenger,36,33,69,30637,30706,0.22
September 30 2023,Yakima,WA,Truck,15,0,15,60861,60876,0.02
April 30 2022,Grays Harbor,WA,Passenger,200,158,358,49190,49548,0.72
November 30 2021,Franklin,WA,Passenger,154,103,257,62249,62506,0.41
January 31 2018,Kittitas,WA,Passenger,37,27,64,28634,28698,0.22
January 31 2021,Cowlitz,WA,Truck,0,0,0,28970,28970,0
August 31 2018,Klickitat,WA,Truck,0,0,0,8153,8153,0
May 31 2022,Thurston,WA,Truck,4,0,4,55373,55377,0.01
April 30 2017,Island,WA,Truck,0,0,0,20521,20521,0
June 30 2019,Jefferson,WA,Truck,0,0,0,9663,9663,0
February 28 2017,Ferry,WA,Passenger,2,1,3,4392,4395,0.07
October 31 2018,Okanogan,WA,Truck,0,0,0,16505,16505,0
December 31 2021,Kittitas,WA,Truck,0,0,0,14796,14796,0
June 30 2021,Benton,WA,Passenger,516,394,910,136347,137257,0.66
July 31 2023,Grays Harbor,WA,Passenger,320,193,513,48247,48760,1.05
July 31 2021,Benton,WA,Truck,0,0,0,43649,43649,0
May 31 2019,Whatcom,WA,Passenger,837,412,1249,150404,151653,0.82
February 28 2019,Franklin,WA,Passenger,50,70,120,59291,59411,0.2
May 31 2023,Lincoln,WA,Passenger,17,18,35,7700,7735,0.45
July 31 2019,Asotin,WA,Passenger,12,8,20,12654,12674,0.16
August 31 2018,Okanogan,WA,Truck,0,0,0,16472,16472,0
November 30 2023,Benton,WA,Truck,35,0,35,42671,42706,0.08
September 30 2020,Pierce,WA,Truck,0,0,0,143944,143944,0
June 30 2023,Mason,WA,Passenger,446,206,652,46322,46974,1.39
June 30 2023,Jefferson,WA,Truck,12,0,12,9336,9348,0.13
October 31 2023,Island,WA,Truck,35,0,35,20855,20890,0.17
February 29 2020,Jefferson,WA,Passenger,230,139,369,25168,25537,1.44
January 31 2021,Grant,WA,Truck,0,0,0,27588,27588,0
September 30 2020,Snohomish,WA,Passenger,4693,1806,6499,537111,543610,1.2
January 31 2017,Okanogan,WA,Passenger,3,15,18,25811,25829,0.07
November 30 2019,Pierce,WA,Passenger,2083,1634,3717,547321,551038,0.67
March 31 2022,Grays Harbor,WA,Truck,0,0,0,21357,21357,0
July 31 2018,Yakima,WA,Passenger,65,93,158,163953,164111,0.1
February 28 2021,Grays Harbor,WA,Passenger,142,130,272,48779,49051,0.55
December 31 2019,Ferry,WA,Passenger,5,2,7,4399,4406,0.16
July 31 2017,Garfield,WA,Truck,0,0,0,925,925,0
March 31 2020,Columbia,WA,Truck,0,0,0,1533,1533,0
April 30 2019,Skagit,WA,Passenger,292,197,489,91530,92019,0.53
January 31 2018,Adams,WA,Truck,0,0,0,5147,5147,0
January 31 2019,Columbia,WA,Passenger,2,2,4,2424,2428,0.16
February 28 2023,Cowlitz,WA,Passenger,426,193,619,70197,70816,0.87
June 30 2021,Snohomish,WA,Truck,1,0,1,126245,126246,0
March 31 2017,Skagit,WA,Truck,1,0,1,31425,31426,0
October 31 2021,Whatcom,WA,Passenger,1581,646,2227,150330,152557,1.46
September 30 2022,Lincoln,WA,Passenger,10,16,26,7716,7742,0.34
November 30 2020,Asotin,WA,Truck,0,0,0,6667,6667,0
July 31 2020,Mason,WA,Truck,0,0,0,20707,20707,0
November 30 2018,Whitman,WA,Truck,0,0,0,8535,8535,0
November 30 2020,Snohomish,WA,Truck,0,0,0,125450,125450,0
May 31 2018,Pend Oreille,WA,Truck,0,0,0,5671,5671,0
May 31 2020,Garfield,WA,Passenger,0,1,1,1346,1347,0.07
April 30 2019,Pierce,WA,Truck,0,0,0,139324,139324,0
April 30 2017,Okanogan,WA,Passenger,3,16,19,25590,25609,0.07
January 31 2020,Chelan,WA,Passenger,213,77,290,54610,54900,0.53
June 30 2019,Ferry,WA,Passenger,5,2,7,4389,4396,0.16
December 31 2019,Pierce,WA,Passenger,2127,1650,3777,547673,551450,0.68
January 31 2021,Whitman,WA,Passenger,51,46,97,21831,21928,0.44
February 28 2018,Lewis,WA,Truck,0,0,0,25272,25272,0
June 30 2022,Chelan,WA,Truck,3,0,3,23057,23060,0.01
March 31 2021,Franklin,WA,Truck,0,0,0,20605,20605,0
January 31 2018,Spokane,WA,Passenger,300,255,555,300751,301306,0.18
November 30 2017,Clallam,WA,Truck,0,0,0,21182,21182,0
October 31 2019,Thurston,WA,Truck,0,0,0,55642,55642,0
March 31 2022,Skamania,WA,Truck,0,0,0,3969,3969,0
September 30 2018,Skamania,WA,Passenger,15,11,26,8708,8734,0.3
July 31 2020,Grays Harbor,WA,Truck,0,0,0,20976,20976,0
November 30 2022,Kitsap,WA,Passenger,2693,1132,3825,177127,180952,2.11
November 30 2018,Benton,WA,Passenger,209,224,433,132774,133207,0.33
August 31 2018,Benton,WA,Passenger,189,198,387,132197,132584,0.29
June 30 2021,Lewis,WA,Passenger,163,141,304,59665,59969,0.51
February 28 2018,Chelan,WA,Truck,0,0,0,21667,21667,0
March 31 2022,Kittitas,WA,Truck,0,0,0,14723,14723,0
August 31 2022,Franklin,WA,Passenger,224,113,337,61892,62229,0.54
March 31 2018,Asotin,WA,Passenger,8,5,13,12622,12635,0.1
March 31 2017,Kitsap,WA,Passenger,572,289,861,172466,173327,0.5
April 30 2018,Skagit,WA,Passenger,182,155,337,90032,90369,0.37
May 31 2019,Island,WA,Truck,0,0,0,21234,21234,0
July 31 2018,Skamania,WA,Truck,0,0,0,3961,3961,0
