Facility_Id,City,State,Zip_Code,Address,County,Industry_Type_Sectors,Total_reported_direct_emissions,CO2_emissions_nonbiogenic ,Methane_CH4_ emissions 
1010693,Rustburg,VA,24588,361 Livestock Road,CAMPBELL COUNTY,Waste,27053,31.5,27021.5
1001162,REMINGTON,VA,22734,12025 LUCKY HILL ROAD,Fauquier,Power Plants,401218.152,400722.9,205
1000809,CARSON CITY,MI,48811,950 N DIVISION ST,Montcalm,Power Plants,208772.928,208561.4,96.5
1001264,RENSSELAER,NY,12144,39 RIVERSIDE AVE,Rensselaer,Power Plants,34104.524,34070,15.75
1003799,CANTON,OH,44704,2633 EIGHTH STREET NE,STARK COUNTY,Metals,126271.148,126202.1,31.5
1014653,Pasco,WA,99301,5526 N Capitol Ave,FRANKLIN COUNTY,Other,2480.64,2477.9,1.25
1000305,COOSA PINES,AL,35044,17589 PLANT ROAD,Talladega,"Pulp and Paper,Waste",171896.872,153681.7,17168
1000311,CALHOUN,TN,37309,5020 HWY 11 SOUTH,Mcminn,"Pulp and Paper,Waste",197873.802,66898.1,130938.75
1006006,RIDGEVILLE,SC,29472,478 RIDGE RD.,DORCHESTER COUNTY,Other,47259.572,47210.8,22.25
1007808,CHERRYVALE,KS,67335,4237 COUNTY RD 5300,MONTGOMERY COUNTY,Waste,16311.15,0.4,16310.75
1011259,Rome,NY,13440,One Revere Park,ONEIDA COUNTY,Metals,30075.536,30044.3,14.25
1007283,LAKE CHARLES,LA,70605,4040 West Tank Farm ROAD,CALCASIEU PARISH,"Petroleum Product Suppliers,Petroleum and Natural Gas Systems",246255.328,245645.9,181.5
1001315,JOHNSTON,RI,02919,24 SHUN PIKE,Providence,Power Plants,1246512.632,1245247.3,577.25
1013586,Jonesboro,AR,72401,216 N. Gee Street,CRAIGHEAD COUNTY,Other,30830.384,30798.6,14.5
1001113,HOLTSVILLE,NY,11742,607 UNION AVE,Suffolk,Power Plants,326997.386,326541.9,177.75
1007887,DEFIANCE,OH,43512,801 CARPENTER ROAD,Defiance,Power Plants,195145.276,194946.9,90.5
1001150,HAMLET,NC,28345,198 ENERGY WAY,Richmond,Power Plants,4154721.698,4150463.5,1933.5
1007161,Albuquerque,NM,87105,725 Electric Ave. SE,BERNALILLO COUNTY,Power Plants,167471.218,167298.8,78.25
1000752,SUNLAND PARK,NM,88063,3501 DONIPHAN ST,Dona Ana,Power Plants,359538.668,359173.7,166.5
1001333,SEGUIN,TX,78155,711 RIO NOGALES DRIVE,Guadalupe,Power Plants,1730481.455,1728724.304,801.6201
1000438,RIPON,CA,95366,1015 S STOCKTON BLVD,Stanislaus,Power Plants,13253.4,13239.7,6.25
1001133,VANCOUVER,WA,98660,5201 N W LOWER RIVER ROAD,Clark,Power Plants,653927.776,653263.6,303
1007781,PANAMA,OK,74951,3 MILES E. OF JUNCTION 31,LE FLORE COUNTY,Power Plants,857342.352,850589.8,2484
1002883,FOREST,MS,39074,11634 HIGHWAY 80 WEST,SCOTT COUNTY,Other,80918.796,80835.5,38
1005746,TEXARKANA,AR,71854,5465 Miller County Road 64,MILLER COUNTY,Other,36717.312,36679.5,17.25
1000461,BRONX,NY,10475,2049 BARTOW AVENUE,Bronx,Other,150762.574,150576.9,77.5
